datetime,open,high,low,close,volume
2022-08-18 10:30:00-04:00,14942.0,14944.75,14937.75,14938.25,815
2022-08-18 10:35:00-04:00,14939.0,14940.75,14916.25,14933.25,2802
2022-08-18 10:40:00-04:00,14933.25,14936.0,14917.75,14922.25,1351
2022-08-18 10:45:00-04:00,14922.25,14927.25,14907.75,14926.25,1816
2022-08-18 10:50:00-04:00,14926.0,14930.0,14920.75,14926.25,965
2022-08-18 10:55:00-04:00,14926.0,14931.75,14918.75,14927.25,1021
2022-08-18 11:00:00-04:00,14927.25,14929.25,14917.0,14928.5,880
2022-08-18 11:05:00-04:00,14928.25,14931.25,14914.75,14915.75,1022
2022-08-18 11:10:00-04:00,14915.5,14916.5,14904.0,14909.0,1340
2022-08-18 11:15:00-04:00,14908.5,14917.75,14907.0,14912.25,987
2022-08-18 11:20:00-04:00,14912.0,14921.75,14910.75,14918.75,1106
2022-08-18 11:25:00-04:00,14918.75,14925.5,14914.25,14920.25,971
2022-08-18 11:30:00-04:00,14920.25,14920.25,14892.25,14901.0,4052
2022-08-19 09:30:00-04:00,14797.5,14797.5,14789.75,14791.25,659
2022-08-19 09:35:00-04:00,14791.75,14799.5,14780.0,14782.5,1068
2022-08-19 09:40:00-04:00,14781.75,14784.75,14776.25,14783.25,725
2022-08-19 09:45:00-04:00,14783.5,14791.75,14777.5,14791.75,694
2022-08-19 09:50:00-04:00,14792.0,14795.75,14788.75,14792.75,638
2022-08-19 09:55:00-04:00,14792.5,14795.5,14789.0,14789.75,435
2022-08-19 10:00:00-04:00,14789.0,14802.75,14784.5,14801.0,1176
2022-08-19 10:05:00-04:00,14801.25,14805.75,14794.75,14805.5,1337
2022-08-19 10:10:00-04:00,14805.25,14806.25,14796.0,14798.75,1266
2022-08-19 10:15:00-04:00,14799.0,14799.75,14782.75,14789.5,1542
2022-08-19 10:20:00-04:00,14790.0,14796.0,14787.75,14795.25,885
2022-08-19 10:25:00-04:00,14795.5,14797.0,14777.25,14779.75,1799
2022-08-19 10:30:00-04:00,14780.0,14785.75,14772.25,14784.75,1129
2022-08-19 10:35:00-04:00,14784.5,14786.75,14776.75,14782.0,910
2022-08-19 10:40:00-04:00,14782.0,14790.75,14780.25,14789.25,1289
2022-08-19 10:45:00-04:00,14790.25,14797.75,14789.5,14790.0,1015
2022-08-19 10:50:00-04:00,14789.75,14796.75,14788.5,14789.75,784
2022-08-19 10:55:00-04:00,14789.25,14803.75,14788.25,14798.75,1599
2022-08-19 11:00:00-04:00,14799.0,14801.75,14786.75,14790.75,1305
2022-08-19 11:05:00-04:00,14790.75,14801.75,14779.75,14779.75,2188
2022-08-19 11:10:00-04:00,14780.0,14791.0,14778.0,14789.25,1406
2022-08-19 11:15:00-04:00,14789.75,14795.5,14780.75,14795.0,1226
2022-08-19 11:20:00-04:00,14795.25,14800.5,14792.0,14799.25,1286
2022-08-19 11:25:00-04:00,14799.5,14813.5,14796.0,14811.25,2642
2022-08-19 11:30:00-04:00,14811.5,14822.0,14805.0,14809.0,5664
2022-08-22 09:30:00-04:00,14487.25,14487.25,14472.5,14476.25,952
2022-08-22 09:35:00-04:00,14476.5,14476.5,14465.0,14467.75,763
2022-08-22 09:40:00-04:00,14467.0,14473.75,14464.75,14473.25,625
2022-08-22 09:45:00-04:00,14472.75,14474.0,14465.0,14474.0,622
2022-08-22 09:50:00-04:00,14474.0,14477.5,14468.0,14470.0,793
2022-08-22 09:55:00-04:00,14469.75,14476.75,14465.75,14474.75,839
2022-08-22 10:00:00-04:00,14475.25,14486.0,14471.0,14482.5,874
2022-08-22 10:05:00-04:00,14482.25,14482.25,14468.5,14469.75,1059
2022-08-22 10:10:00-04:00,14470.5,14474.0,14465.0,14466.5,860
2022-08-22 10:15:00-04:00,14466.75,14468.5,14460.75,14464.5,1151
2022-08-22 10:20:00-04:00,14464.75,14476.0,14464.0,14473.5,1180
2022-08-22 10:25:00-04:00,14473.5,14478.0,14470.0,14475.0,807
2022-08-22 10:30:00-04:00,14474.0,14475.5,14466.5,14473.75,747
2022-08-22 10:35:00-04:00,14474.25,14485.75,14471.25,14477.0,1528
2022-08-22 10:40:00-04:00,14476.0,14482.75,14472.25,14477.0,999
2022-08-22 10:45:00-04:00,14476.25,14481.25,14474.0,14479.5,818
2022-08-22 10:50:00-04:00,14480.0,14483.25,14469.25,14477.75,1058
